profile_path,repository,old_name,new_name,status,derivation,collision
addyosmani-agent-skills,https://github.com/addyosmani/agent-skills,addyosmani-agent-skills,addyosmani_agent-skills,rename-needed,owner-repo-only,no
agency-agents/agency-academic,https://github.com/msitarzewski/agency-agents,agency-academic,msitarzewski_agency-agents_agency-academic,rename-needed,fallback-old-name-as-profile-segment,no
agency-agents/agency-design,https://github.com/msitarzewski/agency-agents,agency-design,msitarzewski_agency-agents_agency-design,rename-needed,fallback-old-name-as-profile-segment,no
agency-agents/agency-engineering,https://github.com/msitarzewski/agency-agents,agency-engineering,msitarzewski_agency-agents_agency-engineering,rename-needed,fallback-old-name-as-profile-segment,no
agency-agents/agency-game-development,https://github.com/msitarzewski/agency-agents,agency-game-development,msitarzewski_agency-agents_agency-game-development,rename-needed,fallback-old-name-as-profile-segment,no
agency-agents/agency-marketing,https://github.com/msitarzewski/agency-agents,agency-marketing,msitarzewski_agency-agents_agency-marketing,rename-needed,fallback-old-name-as-profile-segment,no
agency-agents/agency-paid-media,https://github.com/msitarzewski/agency-agents,agency-paid-media,msitarzewski_agency-agents_agency-paid-media,rename-needed,fallback-old-name-as-profile-segment,no
agency-agents/agency-product,https://github.com/msitarzewski/agency-agents,agency-product,msitarzewski_agency-agents_agency-product,rename-needed,fallback-old-name-as-profile-segment,no
agency-agents/agency-project-management,https://github.com/msitarzewski/agency-agents,agency-project-management,msitarzewski_agency-agents_agency-project-management,rename-needed,fallback-old-name-as-profile-segment,no
agency-agents/agency-sales,https://github.com/msitarzewski/agency-agents,agency-sales,msitarzewski_agency-agents_agency-sales,rename-needed,fallback-old-name-as-profile-segment,no
agency-agents/agency-spatial-computing,https://github.com/msitarzewski/agency-agents,agency-spatial-computing,msitarzewski_agency-agents_agency-spatial-computing,rename-needed,fallback-old-name-as-profile-segment,no
agency-agents/agency-specialized,https://github.com/msitarzewski/agency-agents,agency-specialized,msitarzewski_agency-agents_agency-specialized,rename-needed,fallback-old-name-as-profile-segment,no
agency-agents/agency-support,https://github.com/msitarzewski/agency-agents,agency-support,msitarzewski_agency-agents_agency-support,rename-needed,fallback-old-name-as-profile-segment,no
agency-agents/agency-testing,https://github.com/msitarzewski/agency-agents,agency-testing,msitarzewski_agency-agents_agency-testing,rename-needed,fallback-old-name-as-profile-segment,no
aidlc-workflows/aidlc-workflows,https://github.com/awslabs/aidlc-workflows,aidlc-workflows,awslabs_aidlc-workflows,rename-needed,repo-name-only,no
